Date,Open,High,Low,Close
3/11/1987,290.869995,292.51001,289.329987,290.309998
3/12/1987,290.329987,291.910004,289.660004,291.220001
3/13/1987,291.220001,291.790009,289.880005,289.890015
3/16/1987,289.880005,289.890015,286.640015,288.230011
3/17/1987,288.089996,292.470001,287.959991,292.470001
3/18/1987,292.48999,294.579987,290.869995,292.779999
3/19/1987,292.730011,294.459991,292.26001,294.079987
3/20/1987,294.079987,298.170013,294.079987,298.170013
3/23/1987,298.160004,301.170013,297.5,301.160004
3/24/1987,301.170013,301.920013,300.140015,301.640015
3/25/1987,301.519989,301.850006,299.359985,300.380005
3/26/1987,300.390015,302.720001,300.380005,300.929993
3/27/1987,300.959991,301.410004,296.059998,296.130005
3/30/1987,296.100006,296.130005,286.690002,289.200012
3/31/1987,289.209991,291.869995,289.070007,291.700012
4/1/1987,291.589996,292.380005,288.339996,292.380005
4/2/1987,292.410004,294.470001,292.019989,293.630005
4/3/1987,293.640015,301.299988,292.299988,300.410004
4/6/1987,300.459991,302.209991,300.410004,301.950012
4/7/1987,301.940002,303.649994,296.670013,296.690002
4/8/1987,296.720001,299.200012,295.179993,297.26001
4/9/1987,297.25,297.709991,291.5,292.859985
4/10/1987,292.820007,293.73999,290.940002,292.48999
4/13/1987,292.480011,293.359985,285.619995,285.619995
4/14/1987,285.609985,285.619995,275.670013,279.160004
4/15/1987,279.170013,285.140015,279.160004,284.440002
4/16/1987,284.450012,289.570007,284.440002,286.910004
4/20/1987,286.910004,288.359985,284.549988,286.089996
4/21/1987,285.880005,293.070007,282.890015,293.070007
4/22/1987,293.049988,293.459991,286.980011,287.190002
4/23/1987,287.190002,289.119995,284.279999,286.820007
4/24/1987,286.809998,286.820007,281.179993,281.519989
4/27/1987,281.519989,284.450012,276.220001,281.829987
4/28/1987,281.829987,285.950012,281.829987,282.51001
4/29/1987,282.579987,286.420013,282.579987,284.570007
4/30/1987,284.579987,290.079987,284.570007,288.359985
5/1/1987,286.98999,289.709991,286.519989,288.029999
5/4/1987,288.019989,289.98999,286.390015,289.359985
5/5/1987,289.359985,295.399994,289.339996,295.339996
5/6/1987,295.350006,296.190002,293.600006,295.470001
5/7/1987,295.450012,296.799988,294.070007,294.709991
5/8/1987,294.730011,296.179993,291.730011,293.369995
5/11/1987,293.369995,298.690002,291.549988,291.570007
5/12/1987,291.570007,293.299988,290.179993,293.299988
5/13/1987,293.309998,294.540009,290.73999,293.980011
5/14/1987,293.980011,295.100006,292.950012,294.23999
5/15/1987,294.230011,294.23999,287.109985,287.429993
5/18/1987,287.429993,287.429993,282.570007,286.649994
5/19/1987,286.660004,287.390015,278.829987,279.619995
5/20/1987,279.619995,280.890015,277.01001,278.209991
5/21/1987,278.230011,282.309998,278.209991,280.170013
5/22/1987,280.170013,283.329987,280.170013,282.160004
5/26/1987,282.160004,289.109985,282.160004,289.109985
5/27/1987,289.070007,290.779999,288.190002,288.730011
5/28/1987,288.730011,291.5,286.329987,290.76001
5/29/1987,290.769989,292.869995,289.700012,290.100006
6/1/1987,290.119995,291.959991,289.230011,289.829987
6/2/1987,289.820007,290.940002,286.929993,288.459991
6/3/1987,288.559998,293.470001,288.559998,293.470001
6/4/1987,293.459991,295.089996,292.76001,295.089996
6/5/1987,295.109985,295.109985,292.799988,293.450012
6/8/1987,293.459991,297.029999,291.549988,296.720001
6/9/1987,296.720001,297.589996,295.899994,297.279999
6/10/1987,297.279999,300.809998,295.660004,297.470001
6/11/1987,297.5,298.940002,297.470001,298.730011
6/12/1987,298.769989,302.26001,298.730011,301.619995
6/15/1987,301.619995,304.109985,301.619995,303.140015
6/16/1987,303.119995,304.859985,302.600006,304.76001
6/17/1987,304.769989,305.73999,304.029999,304.809998
6/18/1987,304.779999,306.130005,303.380005,305.690002
6/19/1987,305.709991,306.970001,305.549988,306.970001
6/22/1987,306.980011,310.200012,306.970001,309.649994
6/23/1987,309.660004,310.269989,307.480011,308.429993
6/24/1987,308.440002,308.910004,306.320007,306.859985
6/25/1987,306.869995,309.440002,306.859985,308.959991
6/26/1987,308.940002,308.959991,306.359985,307.160004
